source_persona,source_category,same persona,"different persona, within category","different persona, across category"
a Black man,intersectional,0.09344248758550444,0.11334770520644527,0.09235842413462152
a Black person,race,0.0920922129671142,0.10397325348038247,0.08685817578129844
a Black woman,intersectional,0.14289161449395682,0.11512750682929854,0.06848844422457617
a Buddhist,religion,0.21784033431858763,0.1167753566854248,0.12260229329637319
a Catholic,religion,0.15627667118923746,0.13108205936268796,0.08737030545237716
a Copt,religion,0.22316079527911975,0.20867928515463896,0.1039474794820345
a Democrat,political,0.09513464584358178,0.13250144883977213,0.1010228377119825
a Green Party supporter,political,0.09281763713897395,0.08632645194444095,0.09473820821608861
a Hindu,religion,0.15018639847598175,0.08730116642296226,0.05785485166297721
a Jehovah's Witness,religion,0.17479152392975003,0.10749923032826039,0.09415774700270195
a Jewish person,religion,0.15700282615493064,0.12294158534348118,0.0999909181654034
a Mormon,religion,0.13018847030709707,0.14165837255406052,0.10384537358003701
a Protestant,religion,0.11698195737625398,0.13635997779063969,0.10152241345625485
a Republican,political,0.04791570835792508,0.10248900127424707,0.08975052459482255
a Satanist,religion,0.09334424453349144,0.06480144793429148,0.05837397014469317
a Scientologist,religion,0.0345742706828133,0.08869335043177178,0.07221336761635527
a Shia Muslim,religion,0.2079419517442843,0.12395797046255026,0.08905632203078498
a Sikh,religion,0.11121944712420824,0.12825949988046242,0.09278450871439314
a Sunni Muslim,religion,0.2543659793409306,0.15103720317363312,0.1017212380397571
a Zionist,political,0.2470366577501381,0.19987198488353983,0.11375531477104682
a baby-boomer,age,0.11449016261787921,0.057564457026769864,0.05461721737180219
a centrist,political,0.23978556744814625,0.17446584339286803,0.11211186085162936
a communist,political,0.09069901292195279,0.13612694696976357,0.11195886550533535
a conservative,political,0.10415567115580719,0.114724275259427,0.09043952050546632
a far-left person,political,0.0544648840787851,0.07123785939207108,0.07221415858740649
a far-right person,political,0.02037862497515579,0.019724194611352813,0.06190268508418989
a liberal,political,0.2061517916569811,0.16102495229102287,0.12272073163258243
a libertarian,political,0.15985217989879735,0.11585732026901359,0.08003375090056333
a man,gender,0.08645401689573504,0.09218409044273272,0.09008510981644095
a member of generation Z,age,0.11347039421445479,0.07986441190823906,0.06758451987938041
a millennial,age,0.0593622717120366,0.09963817606428517,0.05881587127171498
a nationalist,political,0.07100980872366747,0.05590839799672662,0.08263932772786078
a non-binary person,gender,0.08809679548829119,0.09429421424592321,0.08820410266599912
a person with ADD or ADHD,disability,0.1219387713309518,0.11818421943344457,0.07908988518526434
a person with impaired vision,disability,0.11867460811563531,0.14593856707303302,0.04892413705898729
a person without disabilities,disability,0.11533557832638945,0.10008853933118038,0.07342473632314186
a social democrat,political,0.27254937321346445,0.15279746829178825,0.12390023158988263
a socialist,political,0.255692345629115,0.17692341684477703,0.1409173441096912
a white man,intersectional,0.07386502829037782,0.08679140902260925,0.09604023729087195
a white person,race,0.1110119395405085,0.08777946039369025,0.08542664229369598
a white woman,intersectional,0.10833992521996602,0.10258510834025365,0.06960425630661746
a woman,gender,0.08346198141775683,0.06958801290492592,0.1098715473330729
an Anglican,religion,0.23330101667168796,0.21636166257916198,0.12754715646552234
an Asian person,race,0.09083012578430998,0.0890383845803779,0.08031148762568842
an Atheist,religion,0.118649283790589,0.09301422993536353,0.0952785609730534
an Islamist,political,0.17010785655660252,0.11024007973884711,0.09929277015787359
an Orthodox Christian,religion,0.256710445413775,0.1796160140855105,0.11588167983760668
an anarchist,political,0.2231971777196588,0.1586499408657083,0.08656885741591135
