entry_id,text,categories,value_most_plain,greatest_thing_plain,most_important_value_plain,value_least_plain,worst_thing_plain,value_most__kindness,value_most__suffering,value_most__fairness,value_most__cheating,value_most__loyalty,value_most__treason,value_most__authority,value_most__subversion,value_most__purity,value_most__impurity,value_most__a_drink,value_most__the_dawn,value_most__age,greatest_thing__kindness,greatest_thing__suffering,greatest_thing__fairness,greatest_thing__cheating,greatest_thing__loyalty,greatest_thing__treason,greatest_thing__authority,greatest_thing__subversion,greatest_thing__purity,greatest_thing__impurity,greatest_thing__a_drink,greatest_thing__the_dawn,greatest_thing__age,most_important_value__kindness,most_important_value__suffering,most_important_value__fairness,most_important_value__cheating,most_important_value__loyalty,most_important_value__treason,most_important_value__authority,most_important_value__subversion,most_important_value__purity,most_important_value__impurity,most_important_value__a_drink,most_important_value__the_dawn,most_important_value__age,value_least__kindness,value_least__suffering,value_least__fairness,value_least__cheating,value_least__loyalty,value_least__treason,value_least__authority,value_least__subversion,value_least__purity,value_least__impurity,value_least__a_drink,value_least__the_dawn,value_least__age,worst_thing__kindness,worst_thing__suffering,worst_thing__fairness,worst_thing__cheating,worst_thing__loyalty,worst_thing__treason,worst_thing__authority,worst_thing__subversion,worst_thing__purity,worst_thing__impurity,worst_thing__a_drink,worst_thing__the_dawn,worst_thing__age,greatest_ask_worst__kindness,greatest_ask_worst__suffering,greatest_ask_worst__fairness,greatest_ask_worst__cheating,greatest_ask_worst__loyalty,greatest_ask_worst__treason,greatest_ask_worst__authority,greatest_ask_worst__subversion,greatest_ask_worst__purity,greatest_ask_worst__impurity,greatest_ask_worst__a_drink,greatest_ask_worst__the_dawn,greatest_ask_worst__age,worst_ask_greatest__kindness,worst_ask_greatest__suffering,worst_ask_greatest__fairness,worst_ask_greatest__cheating,worst_ask_greatest__loyalty,worst_ask_greatest__treason,worst_ask_greatest__authority,worst_ask_greatest__subversion,worst_ask_greatest__purity,worst_ask_greatest__impurity,worst_ask_greatest__a_drink,worst_ask_greatest__the_dawn,worst_ask_greatest__age
0,compassion,care.virtue,-3.35546875,-3.09375,-2.779296875,-8.6328125,-8.5390625,-1.6416015625,-4.3984375,-2.142578125,-4.44140625,-1.8681640625,-2.658203125,-2.5,-3.83984375,-2.087890625,-4.1484375,-3.77734375,-2.435546875,-2.779296875,-5.02734375,-6.65625,-4.8203125,-5.734375,-4.21875,-6.23828125,-4.8984375,-5.765625,-4.7578125,-5.87109375,-5.6171875,-5.05078125,-5.3203125,-5.1484375,-5.98828125,-5.26953125,-5.4140625,-4.5234375,-5.33203125,-4.87109375,-5.01953125,-4.64453125,-5.29296875,-5.53125,-4.91796875,-5.0859375,-6.4375,-5.46875,-5.61328125,-4.9296875,-5.62890625,-5.80859375,-5.50390625,-6.0546875,-4.9375,-5.734375,-5.30859375,-5.66796875,-4.48828125,-9.625,-7.54296875,-8.3359375,-6.36328125,-8.1640625,-5.93359375,-7.84765625,-7.4453125,-6.46875,-7.109375,-7.39453125,-7.3671875,-6.69921875,-8.7109375,-8.5546875,-8.7890625,-6.6796875,-8.7890625,-6.78515625,-8.8515625,-9.2265625,-8.34375,-8.5625,-8.0703125,-8.453125,-8.6171875,-8.703125,-5.4609375,-7.12109375,-5.21484375,-6.38671875,-5.3359375,-5.87109375,-5.453125,-4.5234375,-5.30859375,-5.73828125,-4.98046875,-5.15234375
1,empathy,care.virtue,-3.529296875,-2.923828125,-3.146484375,-8.1953125,-7.1953125,-1.6396484375,-4.8515625,-2.5625,-4.31640625,-2.365234375,-2.896484375,-2.958984375,-3.97265625,-2.890625,-4.5546875,-3.81640625,-3.029296875,-3.02734375,-4.05078125,-6.1640625,-4.30078125,-5.40234375,-3.9375,-5.90234375,-4.51953125,-5.15625,-4.53125,-5.48046875,-5.08984375,-4.55078125,-4.60546875,-4.453125,-5.53125,-5.0390625,-5.19140625,-4.4296875,-4.90625,-4.65234375,-4.75390625,-4.8359375,-5.14453125,-5.16796875,-4.60546875,-4.63671875,-5.55859375,-4.83203125,-5.58203125,-4.82421875,-5.40625,-5.55859375,-5.6484375,-5.390625,-4.91015625,-5.37890625,-4.98046875,-5.33984375,-4.6875,-8.75,-6.92578125,-8.359375,-6.0,-8.4921875,-5.6171875,-7.953125,-7.1953125,-6.37109375,-6.66015625,-6.96484375,-6.90625,-6.0703125,-8.4296875,-7.953125,-8.71875,-6.23046875,-8.9453125,-6.41796875,-8.328125,-8.375,-8.1640625,-7.796875,-6.9296875,-7.21484375,-7.4765625,-7.49609375,-5.12109375,-6.578125,-4.6953125,-5.9375,-4.76953125,-5.26953125,-4.890625,-4.1640625,-4.80859375,-5.50390625,-4.84765625,-4.3984375
2,kindness,care.virtue,-3.197265625,-3.03125,-4.22265625,-8.78125,-8.4765625,-3.37890625,-5.0859375,-2.8203125,-4.71875,-2.26953125,-3.26953125,-2.919921875,-4.546875,-2.7265625,-4.484375,-3.69921875,-3.0078125,-2.916015625,-5.7109375,-6.171875,-4.49609375,-5.421875,-3.947265625,-6.1171875,-4.41015625,-5.453125,-4.69140625,-5.5859375,-4.6875,-4.5390625,-4.7265625,-7.55859375,-6.4140625,-5.98046875,-6.13671875,-5.50390625,-6.15625,-5.671875,-6.09375,-5.65625,-6.27734375,-6.09765625,-5.84375,-5.73046875,-8.0,-6.38671875,-6.46875,-5.84375,-6.6953125,-5.9140625,-5.46875,-6.8203125,-5.5078125,-6.20703125,-5.828125,-6.4921875,-4.4296875,-9.6484375,-6.953125,-7.96484375,-6.06640625,-8.3359375,-5.68359375,-7.30859375,-6.57421875,-6.50390625,-6.4765625,-7.01171875,-6.9765625,-7.0078125,-7.12890625,-8.5,-9.3984375,-6.71875,-9.7734375,-6.86328125,-9.1015625,-9.46875,-9.0078125,-8.65625,-8.890625,-9.109375,-9.4296875,-8.0390625,-5.4140625,-6.96484375,-4.8828125,-6.578125,-5.30859375,-5.73828125,-5.48046875,-4.77734375,-5.2421875,-5.23828125,-4.87890625,-4.9375
3,caring,care.virtue,-4.17578125,-4.3671875,-4.5703125,-8.3828125,-7.953125,-3.42578125,-5.08203125,-3.916015625,-5.0078125,-3.470703125,-4.3046875,-3.953125,-5.90234375,-4.18359375,-5.953125,-4.45703125,-4.4140625,-4.84765625,-5.8125,-6.9296875,-5.40625,-5.85546875,-5.06640625,-6.71484375,-5.671875,-6.7890625,-5.8671875,-6.828125,-5.84765625,-5.90625,-6.60546875,-6.96484375,-6.6015625,-6.390625,-6.1953125,-5.60546875,-6.55859375,-5.98046875,-6.8046875,-6.53125,-6.91796875,-6.4296875,-6.27734375,-6.48046875,-7.14453125,-6.234375,-6.984375,-6.3515625,-6.7421875,-6.71875,-7.0390625,-7.67578125,-6.359375,-6.7734375,-6.1328125,-6.546875,-6.52734375,-9.3671875,-7.203125,-9.3125,-7.8125,-9.5234375,-7.546875,-8.9609375,-8.875,-8.1328125,-8.2109375,-7.625,-7.29296875,-7.64453125,-9.40625,-7.75390625,-10.2890625,-7.83203125,-9.9609375,-8.5,-9.1953125,-9.4921875,-9.7421875,-8.96875,-7.76171875,-7.86328125,-8.2890625,-8.9375,-5.890625,-7.26171875,-5.30078125,-7.140625,-5.7734375,-6.33984375,-6.28125,-5.33203125,-6.0703125,-6.171875,-5.83203125,-6.3984375
4,generosity,care.virtue,-5.03125,-3.828125,-4.74609375,-7.9375,-8.375,-2.583984375,-5.875,-4.19921875,-5.453125,-3.86328125,-4.16796875,-4.375,-5.56640625,-4.04296875,-5.828125,-4.67578125,-3.904296875,-4.01171875,-4.8828125,-6.94140625,-5.03125,-5.83203125,-4.6484375,-6.59375,-5.07421875,-5.99609375,-5.1796875,-6.3046875,-5.5859375,-5.0078125,-5.3515625,-5.625,-6.9453125,-6.4375,-6.2421875,-5.73828125,-6.46875,-6.0234375,-6.21484375,-5.921875,-6.4296875,-6.18359375,-6.01171875,-5.953125,-6.3671875,-6.41015625,-6.0703125,-5.234375,-5.84375,-6.21875,-5.84765625,-6.09375,-5.390625,-6.03515625,-5.6640625,-5.890625,-4.8046875,-9.703125,-7.15234375,-8.515625,-6.44140625,-9.09375,-6.05859375,-7.72265625,-7.23828125,-6.47265625,-6.7578125,-7.34375,-7.140625,-6.53515625,-9.65625,-8.4453125,-9.25,-6.84765625,-9.6328125,-7.41796875,-9.046875,-9.09375,-8.40625,-8.359375,-8.0078125,-8.640625,-8.5234375,-8.765625,-5.9765625,-7.51171875,-5.1640625,-7.31640625,-5.69140625,-6.28125,-5.7890625,-5.1171875,-5.76953125,-5.96875,-5.2265625,-5.3203125
5,benevolence,care.virtue,-5.296875,-4.7421875,-4.5703125,-8.734375,-9.4296875,-4.43359375,-5.8515625,-4.765625,-5.66015625,-4.83984375,-4.41796875,-4.56640625,-5.4609375,-4.44921875,-5.55859375,-5.43359375,-4.6171875,-4.9453125,-6.64453125,-7.04296875,-6.2109375,-6.33203125,-5.69140625,-6.90625,-5.98828125,-6.44140625,-5.9140625,-6.72265625,-6.5703125,-5.859375,-6.28125,-6.15625,-6.21875,-5.66796875,-5.8515625,-5.16015625,-5.7421875,-5.3828125,-5.80078125,-5.08984375,-5.85546875,-6.22265625,-5.73828125,-5.5390625,-7.6328125,-7.25,-6.96875,-6.5,-7.1640625,-7.03125,-6.8203125,-7.11328125,-6.203125,-6.890625,-6.75390625,-6.94921875,-6.40625,-10.5234375,-7.828125,-9.578125,-7.55859375,-9.9453125,-6.91796875,-9.3125,-8.46875,-7.75390625,-7.9375,-8.8125,-8.765625,-8.515625,-10.140625,-8.6640625,-10.015625,-7.69921875,-10.234375,-7.55078125,-9.9375,-9.8046875,-9.1640625,-8.890625,-9.265625,-9.59375,-9.875,-9.046875,-5.9453125,-7.75,-6.0,-7.21875,-6.0390625,-6.76171875,-6.01171875,-5.61328125,-6.05859375,-6.421875,-5.65234375,-6.0546875
6,altruism,care.virtue,-5.31640625,-4.79296875,-3.904296875,-8.515625,-9.15625,-3.6171875,-5.984375,-4.30859375,-5.22265625,-4.0703125,-4.0234375,-4.65625,-5.4453125,-4.140625,-5.75,-5.671875,-4.8046875,-4.72265625,-5.8046875,-7.4609375,-5.90625,-6.359375,-5.2421875,-6.984375,-6.08984375,-6.765625,-5.87109375,-6.98046875,-7.2890625,-6.359375,-6.484375,-5.1953125,-6.07421875,-5.609375,-5.546875,-4.7265625,-5.4296875,-5.23828125,-5.53125,-5.21484375,-5.75390625,-5.87109375,-5.51953125,-5.46875,-6.59375,-6.66796875,-6.32421875,-5.14453125,-5.80859375,-5.984375,-6.234375,-6.0859375,-5.44140625,-5.94921875,-5.515625,-5.69921875,-5.62890625,-10.375,-8.6171875,-10.03125,-7.6328125,-9.8203125,-6.76953125,-9.8984375,-9.4609375,-8.546875,-8.8515625,-8.6171875,-8.7890625,-8.5234375,-9.5234375,-9.125,-9.8125,-7.55859375,-9.453125,-8.0,-9.3515625,-9.546875,-9.1484375,-8.8984375,-8.203125,-8.78125,-9.0390625,-8.7421875,-6.43359375,-7.75,-5.90234375,-7.5625,-6.08203125,-6.95703125,-6.25390625,-5.515625,-6.31640625,-6.89453125,-6.0703125,-6.19921875
7,compassionate,care.virtue,-5.5546875,-5.5859375,-5.71875,-8.390625,-8.09375,-4.6953125,-6.23828125,-5.1484375,-6.5625,-5.515625,-5.61328125,-5.6953125,-6.46484375,-5.52734375,-6.875,-6.28125,-5.9453125,-5.85546875,-7.26171875,-8.5,-7.44921875,-7.79296875,-6.94140625,-8.078125,-7.484375,-7.78515625,-7.16796875,-7.98046875,-7.6640625,-7.546875,-7.70703125,-7.6875,-8.0390625,-7.83984375,-7.8671875,-7.34765625,-7.7890625,-7.3828125,-7.296875,-7.19140625,-7.46484375,-7.6171875,-7.359375,-7.63671875,-7.93359375,-6.75,-7.5,-6.6640625,-7.4921875,-7.28125,-7.30859375,-7.66796875,-6.8125,-7.64453125,-7.0,-7.546875,-6.2265625,-9.4453125,-8.953125,-9.6328125,-8.8125,-9.3046875,-8.296875,-9.3828125,-8.8125,-8.0546875,-8.796875,-8.6640625,-9.09375,-8.78125,-8.8046875,-9.265625,-9.640625,-8.7578125,-9.625,-8.8125,-9.8359375,-10.09375,-8.875,-9.5078125,-9.03125,-9.40625,-9.6875,-9.21875,-7.3515625,-8.8984375,-7.65625,-8.3515625,-7.60546875,-8.1640625,-7.77734375,-6.90625,-7.58203125,-8.0703125,-7.66015625,-7.73828125
8,nurture,care.virtue,-6.7265625,-6.42578125,-8.125,-6.9453125,-7.78125,-5.84375,-6.77734375,-6.96484375,-6.953125,-7.0390625,-5.31640625,-6.25,-6.43359375,-6.125,-7.140625,-6.2578125,-5.46875,-5.828125,-7.7734375,-8.7734375,-8.15625,-7.8984375,-7.88671875,-8.5,-8.1015625,-9.1640625,-8.03125,-8.890625,-8.09375,-8.0859375,-7.9140625,-9.484375,-9.1484375,-9.59375,-9.0859375,-9.8359375,-8.984375,-8.625,-8.8046875,-8.7421875,-9.34375,-8.1015625,-7.98828125,-8.4140625,-7.2890625,-6.8515625,-7.796875,-6.359375,-7.28515625,-6.8203125,-6.6953125,-6.58984375,-6.37109375,-6.73828125,-6.2421875,-5.94140625,-5.7578125,-10.0234375,-9.390625,-10.28125,-8.46875,-9.8828125,-8.53125,-9.65625,-9.453125,-8.0390625,-9.1953125,-9.109375,-9.21875,-8.6015625,-8.8671875,-9.328125,-9.1484375,-8.375,-8.890625,-8.8515625,-8.875,-9.7109375,-8.390625,-9.2734375,-8.546875,-8.71875,-8.8359375,-9.5,-7.85546875,-9.2734375,-7.76953125,-9.0390625,-7.984375,-8.453125,-8.4375,-7.48046875,-8.1875,-8.234375,-7.81640625,-7.65234375
9,gentleness,care.virtue,-5.96875,-4.3984375,-7.640625,-7.51171875,-8.796875,-3.583984375,-5.62890625,-4.9609375,-5.8828125,-5.1640625,-4.14453125,-5.015625,-5.98046875,-4.5546875,-5.6328125,-5.48828125,-4.609375,-5.06640625,-6.02734375,-7.1171875,-6.35546875,-6.1875,-5.87890625,-6.54296875,-5.9296875,-6.52734375,-5.99609375,-6.640625,-6.16015625,-6.203125,-6.21875,-8.1484375,-8.5546875,-8.7890625,-8.1328125,-8.34375,-7.99609375,-7.99609375,-8.1015625,-8.1640625,-8.390625,-8.1015625,-8.2421875,-8.125,-6.359375,-5.2265625,-6.3671875,-5.171875,-6.24609375,-5.5390625,-5.70703125,-6.2109375,-5.4375,-5.828125,-5.68359375,-5.484375,-5.09375,-9.6875,-7.09375,-8.7109375,-6.62890625,-8.8828125,-6.1484375,-8.078125,-7.16796875,-7.12109375,-7.1875,-7.4296875,-7.6875,-7.5,-9.71875,-8.3671875,-9.5234375,-7.45703125,-9.9765625,-7.12109375,-9.5546875,-9.390625,-9.3984375,-8.9296875,-8.8203125,-9.4296875,-9.765625,-8.703125,-6.1328125,-7.74609375,-5.78515625,-7.33984375,-5.796875,-6.62109375,-5.984375,-5.5078125,-5.9375,-5.92578125,-5.55859375,-5.90625
