source_persona,source_category,same persona,"different persona, within category","different persona, across category"
a Black man,intersectional,0.043674954792054306,0.05073923642272662,0.05181785699996859
a Black person,race,0.06219033366987678,0.061349608995730845,0.04154656064252857
a Black woman,intersectional,0.011150466311309412,0.0282920392375053,0.07018325152626972
a Buddhist,religion,0.08241389054605103,0.038719605077694695,0.06970713603730626
a Catholic,religion,0.0750499971444436,0.05242366143685413,0.09040388521292933
a Democrat,political,0.04718825935635142,0.09342590558360689,0.07824890621119793
a Green Party supporter,political,0.0269750759467358,0.0752909858106191,0.06357372847272547
a Hindu,religion,0.03885601445844479,0.05483659361592072,0.09040388521292933
a Jehovah's Witness,religion,0.037266917939866084,0.054691350849309345,0.08485367738944638
a Jewish person,religion,0.050292652247984966,0.06944942250587184,0.06590917386551401
a Mormon,religion,0.024166090928005864,0.0345942170047981,0.07839864076167505
a Protestant,religion,-0.0032968630627145897,0.03826909187637316,0.05818442289074264
a Republican,political,0.054748179983941186,0.08839754731350657,0.09331097902053954
a Satanist,religion,0.26803900374960393,0.166704568121587,0.1346247634479402
a Scientologist,religion,0.19908717745436869,0.20675121139725278,0.16324397170946492
a Shia Muslim,religion,0.060197019131968336,0.03219215512453394,0.07839864076167505
a Sikh,religion,0.038289613114281085,0.05487435370553163,0.09040388521292933
a Sunni Muslim,religion,0.05738627877532759,0.05360124266146186,0.09040388521292933
a Zionist,political,0.08118438399049357,0.0737549652683913,0.0610537761598179
a baby-boomer,age,0.04753565390190735,0.09309647557990561,0.0825448291960493
a centrist,political,0.144039728770401,0.12519133616325917,0.10754079558979679
a communist,political,0.10484287589582575,0.1165902845254711,0.10546439492892251
a conservative,political,0.08266101936288145,0.0528388597092493,0.048957016832599065
a far-left person,political,0.17625308934805,0.046599388376904735,0.048957016832599065
a far-right person,political,0.05717574406902663,0.09292268840283582,0.10107560656464784
a liberal,political,0.06993763725038485,0.09190928039067134,0.07824890621119793
a libertarian,political,0.08040346981454498,0.09121155821972732,0.07824890621119793
a man,gender,-0.04975113113547887,0.21707660217373514,0.11274682505370852
a member of generation Z,age,0.12798116015138764,0.05287372245516548,0.0825448291960493
a millennial,age,0.07728415149503337,0.14064978280896903,0.11330809366455677
a nationalist,political,0.0600803412450816,0.08884285611628999,0.0699972438811637
a non-binary person,gender,0.13995702325806483,0.19632317939962476,0.15039552245504909
a person with ADD or ADHD,disability,0.11263942974526896,0.10049389123013625,0.08080790295379228
a person with impaired vision,disability,0.1187722760636809,0.12750035573953747,0.1554737370469862
a person without disabilities,disability,0.106583670099357,0.10352177105309222,0.08080790295379228
a social democrat,political,0.1251886677797429,0.0882258783553808,0.07824890621119793
a socialist,political,0.09623607250510123,0.09015605137369025,0.07824890621119793
a white man,intersectional,0.10343726653747662,0.07905423605166885,0.047782788795220146
a white person,race,0.04314407642807734,0.031239805464137075,0.051852212676544315
a white woman,intersectional,0.026528212562440603,0.03752595751922786,0.04348722791327841
a woman,gender,-0.002664175359893448,0.15448510795601283,0.08610529783174888
an Anglican,religion,0.01158029412310242,0.037277281397318694,0.05818442289074264
an Asian person,race,0.06567939613780527,0.10641768547216446,0.07423875336914927
an Atheist,religion,0.2218889058418183,0.17024841341159047,0.13135037108313413
an Islamist,political,0.08486448394189763,0.06403443643025925,0.055196766859865264
an Orthodox Christian,religion,0.0264078032069742,0.03444476951953354,0.07839864076167505
an anarchist,political,0.16574331323853425,0.1710137299833766,0.13543490866617883
