entry_id,text,categories,value_most_plain,greatest_thing_plain,most_important_value_plain,value_least_plain,worst_thing_plain,value_most__kindness,value_most__suffering,value_most__fairness,value_most__cheating,value_most__loyalty,value_most__treason,value_most__authority,value_most__subversion,value_most__purity,value_most__impurity,value_most__a_drink,value_most__the_dawn,value_most__age,greatest_thing__kindness,greatest_thing__suffering,greatest_thing__fairness,greatest_thing__cheating,greatest_thing__loyalty,greatest_thing__treason,greatest_thing__authority,greatest_thing__subversion,greatest_thing__purity,greatest_thing__impurity,greatest_thing__a_drink,greatest_thing__the_dawn,greatest_thing__age,most_important_value__kindness,most_important_value__suffering,most_important_value__fairness,most_important_value__cheating,most_important_value__loyalty,most_important_value__treason,most_important_value__authority,most_important_value__subversion,most_important_value__purity,most_important_value__impurity,most_important_value__a_drink,most_important_value__the_dawn,most_important_value__age,value_least__kindness,value_least__suffering,value_least__fairness,value_least__cheating,value_least__loyalty,value_least__treason,value_least__authority,value_least__subversion,value_least__purity,value_least__impurity,value_least__a_drink,value_least__the_dawn,value_least__age,worst_thing__kindness,worst_thing__suffering,worst_thing__fairness,worst_thing__cheating,worst_thing__loyalty,worst_thing__treason,worst_thing__authority,worst_thing__subversion,worst_thing__purity,worst_thing__impurity,worst_thing__a_drink,worst_thing__the_dawn,worst_thing__age,greatest_ask_worst__kindness,greatest_ask_worst__suffering,greatest_ask_worst__fairness,greatest_ask_worst__cheating,greatest_ask_worst__loyalty,greatest_ask_worst__treason,greatest_ask_worst__authority,greatest_ask_worst__subversion,greatest_ask_worst__purity,greatest_ask_worst__impurity,greatest_ask_worst__a_drink,greatest_ask_worst__the_dawn,greatest_ask_worst__age,worst_ask_greatest__kindness,worst_ask_greatest__suffering,worst_ask_greatest__fairness,worst_ask_greatest__cheating,worst_ask_greatest__loyalty,worst_ask_greatest__treason,worst_ask_greatest__authority,worst_ask_greatest__subversion,worst_ask_greatest__purity,worst_ask_greatest__impurity,worst_ask_greatest__a_drink,worst_ask_greatest__the_dawn,worst_ask_greatest__age
0,compassion,care.virtue,-3.021484375,-2.71484375,-3.03125,-8.9296875,-7.73828125,-1.9169921875,-4.24609375,-2.392578125,-4.484375,-1.66015625,-2.41015625,-2.646484375,-4.0078125,-1.7626953125,-4.41796875,-3.625,-2.38671875,-2.38671875,-4.37890625,-6.01953125,-4.35546875,-5.73828125,-3.9296875,-5.83984375,-4.54296875,-5.4453125,-4.3828125,-5.73828125,-5.1640625,-4.7109375,-4.59765625,-5.515625,-5.80078125,-5.8125,-5.55078125,-5.04296875,-5.4296875,-5.69140625,-5.5390625,-5.12109375,-5.859375,-5.92578125,-5.29296875,-5.61328125,-6.57421875,-5.63671875,-5.96484375,-5.63671875,-5.94921875,-6.31640625,-6.0625,-6.953125,-5.45703125,-6.30859375,-5.78515625,-6.22265625,-4.9921875,-9.09375,-6.640625,-7.984375,-5.53125,-7.78515625,-5.3828125,-7.07421875,-7.109375,-5.47265625,-6.2578125,-7.06640625,-7.12109375,-6.03515625,-7.98828125,-8.375,-8.03125,-6.671875,-8.3203125,-6.36328125,-8.5703125,-9.46875,-6.82421875,-8.3046875,-7.9453125,-8.59375,-8.5390625,-8.34375,-5.05078125,-6.8984375,-5.0859375,-6.1015625,-4.91015625,-5.69140625,-5.1875,-3.8359375,-4.9140625,-5.515625,-4.9375,-4.92578125
1,empathy,care.virtue,-3.140625,-2.423828125,-3.134765625,-8.546875,-6.09765625,-1.6865234375,-4.7421875,-2.2109375,-3.65625,-2.013671875,-2.244140625,-2.89453125,-3.783203125,-2.23828125,-4.39453125,-3.419921875,-2.90625,-2.419921875,-3.703125,-5.39453125,-3.873046875,-5.3125,-3.587890625,-5.58984375,-4.03125,-4.92578125,-4.15234375,-5.16796875,-4.75,-4.2421875,-3.947265625,-4.859375,-5.5,-5.4453125,-5.2265625,-4.8515625,-4.921875,-5.35546875,-4.87109375,-5.24609375,-5.44140625,-5.453125,-4.8984375,-5.15625,-5.51171875,-4.9921875,-5.55859375,-5.07421875,-5.6328125,-5.9140625,-5.92578125,-5.984375,-5.16015625,-5.74609375,-5.171875,-5.6640625,-5.00390625,-8.21875,-5.75,-7.85546875,-5.046875,-8.0078125,-5.203125,-7.11328125,-6.59375,-5.3046875,-5.59765625,-6.48828125,-6.47265625,-5.33984375,-8.109375,-7.984375,-8.6328125,-6.54296875,-8.9921875,-6.515625,-8.5234375,-8.578125,-7.25,-7.82421875,-7.05859375,-7.6328125,-7.77734375,-6.9453125,-4.61328125,-6.14453125,-4.52734375,-5.61328125,-4.51953125,-4.9921875,-4.66015625,-3.759765625,-4.30078125,-5.44921875,-4.91015625,-4.234375
2,kindness,care.virtue,-2.73828125,-2.755859375,-4.3125,-8.796875,-7.37890625,-3.970703125,-4.97265625,-2.783203125,-4.66796875,-1.9921875,-3.216796875,-2.806640625,-4.62890625,-2.197265625,-4.6875,-3.703125,-3.193359375,-2.44921875,-5.42578125,-5.5625,-3.9765625,-5.2578125,-3.462890625,-5.6328125,-3.849609375,-5.19140625,-4.16796875,-5.4609375,-4.13671875,-4.28125,-4.05859375,-7.71484375,-6.2734375,-6.24609375,-6.0625,-5.71484375,-6.1953125,-6.01953125,-6.125,-5.66015625,-6.421875,-6.16796875,-6.01953125,-6.0546875,-7.9296875,-6.37109375,-6.421875,-6.3203125,-6.97265625,-6.55078125,-5.97265625,-7.76171875,-5.703125,-6.59765625,-6.1796875,-7.12890625,-5.08203125,-9.796875,-6.0625,-7.65234375,-4.98828125,-8.0546875,-5.01171875,-6.62890625,-6.1328125,-5.35546875,-5.9453125,-6.2265625,-6.875,-6.0390625,-6.9375,-8.265625,-9.09375,-6.609375,-9.375,-6.2421875,-8.9375,-9.1640625,-7.69921875,-8.3046875,-8.59375,-8.7734375,-9.125,-8.265625,-4.98828125,-6.68359375,-4.63671875,-6.26953125,-4.94921875,-5.5,-5.27734375,-4.0703125,-4.953125,-4.95703125,-4.984375,-4.78515625
3,caring,care.virtue,-4.1171875,-4.21484375,-4.875,-8.671875,-7.71875,-3.75,-4.90234375,-3.759765625,-4.8203125,-3.208984375,-4.29296875,-3.98046875,-5.94140625,-3.7578125,-5.88671875,-4.15625,-4.609375,-4.41796875,-5.60546875,-6.4453125,-5.0703125,-5.875,-4.66796875,-6.65234375,-5.58203125,-7.18359375,-5.5078125,-6.921875,-5.5390625,-5.62109375,-6.27734375,-7.15625,-6.75390625,-6.96484375,-6.46484375,-6.1328125,-6.70703125,-6.796875,-7.5,-7.0703125,-7.5859375,-6.83203125,-6.71484375,-6.9609375,-7.2734375,-6.5703125,-7.14453125,-6.32421875,-7.09375,-6.75,-7.3515625,-8.1328125,-6.8671875,-7.41015625,-6.6171875,-7.125,-6.86328125,-9.2109375,-6.875,-8.7734375,-6.6640625,-9.2578125,-7.06640625,-8.8671875,-9.0625,-7.5703125,-8.0078125,-7.8046875,-7.52734375,-7.390625,-9.0625,-8.0390625,-10.0546875,-7.84375,-9.9453125,-8.390625,-9.3515625,-9.3671875,-9.1171875,-9.0546875,-8.25,-8.390625,-8.609375,-8.6015625,-5.4140625,-6.96484375,-5.171875,-6.6484375,-5.4921875,-6.13671875,-6.26953125,-4.69140625,-5.73046875,-5.80859375,-5.83203125,-6.30078125
4,generosity,care.virtue,-4.82421875,-3.5625,-4.4375,-8.2890625,-7.12109375,-3.107421875,-5.85546875,-4.2109375,-5.43359375,-3.677734375,-3.830078125,-4.29296875,-5.78125,-3.63671875,-5.90234375,-4.7109375,-4.08984375,-3.669921875,-4.6015625,-6.2421875,-4.53515625,-5.671875,-4.16796875,-5.9375,-4.4140625,-5.62109375,-4.5078125,-5.953125,-5.04296875,-4.66015625,-4.71484375,-5.6875,-6.765625,-6.49609375,-5.8046875,-5.6484375,-6.28515625,-6.19140625,-5.9453125,-5.83203125,-6.36328125,-5.96484375,-6.015625,-5.9921875,-6.37109375,-6.7421875,-6.09765625,-5.5390625,-6.125,-6.75,-6.11328125,-7.0625,-5.7890625,-6.34765625,-5.96875,-6.54296875,-5.1171875,-9.1640625,-5.9453125,-8.046875,-5.12109375,-8.5,-5.10546875,-6.78125,-6.78125,-5.37109375,-5.8359375,-6.671875,-6.69140625,-5.55859375,-9.140625,-7.828125,-8.75,-6.45703125,-9.21875,-6.796875,-8.515625,-8.8515625,-6.73828125,-7.55078125,-7.52734375,-8.2109375,-7.9296875,-8.03125,-5.26953125,-6.9921875,-4.6640625,-6.7109375,-5.04296875,-5.796875,-5.44140625,-4.19140625,-5.1875,-5.58984375,-5.125,-5.0703125
5,benevolence,care.virtue,-5.234375,-4.23828125,-4.16015625,-8.953125,-8.9453125,-4.78125,-5.75,-4.70703125,-5.46484375,-4.796875,-4.0390625,-4.703125,-5.296875,-4.125,-5.57421875,-5.41796875,-4.74609375,-4.765625,-6.359375,-6.38671875,-5.83203125,-6.04296875,-5.296875,-6.2734375,-5.47265625,-5.90234375,-5.2109375,-6.34375,-5.88671875,-5.40625,-5.6875,-6.26171875,-6.0390625,-5.828125,-5.484375,-5.30078125,-5.62890625,-5.5546875,-5.58203125,-4.96875,-5.80859375,-6.0546875,-5.703125,-5.62109375,-7.9140625,-7.15625,-7.12890625,-6.55078125,-7.48046875,-7.38671875,-7.0859375,-7.5546875,-6.58203125,-7.16796875,-7.26171875,-7.58203125,-6.76171875,-10.046875,-6.7421875,-9.3515625,-6.859375,-9.8203125,-6.23046875,-9.0234375,-8.3046875,-6.6484375,-7.28125,-8.3203125,-8.5390625,-8.0078125,-9.59375,-8.1171875,-9.921875,-7.54296875,-10.2734375,-6.71484375,-9.875,-9.9609375,-7.953125,-8.40625,-9.375,-9.625,-10.0390625,-8.4140625,-5.2421875,-7.13671875,-5.51171875,-6.61328125,-5.34765625,-6.25390625,-5.38671875,-4.703125,-5.3125,-5.89453125,-5.203125,-5.671875
6,altruism,care.virtue,-4.84765625,-4.1015625,-3.294921875,-8.3984375,-8.0546875,-3.64453125,-5.99609375,-3.94140625,-5.12109375,-3.779296875,-3.763671875,-4.4296875,-5.265625,-3.626953125,-5.65234375,-5.43359375,-4.58984375,-4.41796875,-5.1640625,-6.62109375,-5.1640625,-6.00390625,-4.48828125,-6.4765625,-5.375,-6.4375,-4.9921875,-6.55078125,-6.484375,-5.578125,-5.578125,-5.20703125,-5.81640625,-5.64453125,-5.09765625,-4.64453125,-5.33203125,-5.36328125,-5.25,-5.1640625,-5.734375,-5.52734375,-5.46875,-5.46484375,-6.49609375,-6.296875,-6.1328125,-5.453125,-5.76953125,-6.11328125,-6.2109375,-6.5,-5.7421875,-6.14453125,-5.62109375,-5.890625,-5.765625,-9.609375,-7.28515625,-9.3359375,-6.0546875,-9.1328125,-5.8203125,-8.9140625,-8.8515625,-7.484375,-7.8046875,-7.97265625,-8.1015625,-7.453125,-8.8046875,-8.5390625,-9.2734375,-6.90234375,-8.96875,-7.09765625,-8.765625,-9.1484375,-8.0859375,-8.421875,-8.046875,-8.3046875,-8.5859375,-7.953125,-5.50390625,-7.09375,-5.24609375,-6.83984375,-5.59765625,-6.3671875,-5.8203125,-4.4375,-5.609375,-6.234375,-5.56640625,-5.63671875
7,compassionate,care.virtue,-5.59765625,-5.44921875,-6.046875,-8.3828125,-7.4140625,-5.25,-6.0859375,-5.625,-6.4375,-5.390625,-5.68359375,-5.875,-6.83203125,-5.4453125,-7.00390625,-6.1640625,-6.23828125,-5.49609375,-6.94140625,-8.171875,-7.5,-7.87109375,-7.0,-8.15625,-7.5625,-7.74609375,-7.2421875,-8.2265625,-7.3984375,-7.453125,-7.51953125,-7.8828125,-7.9375,-8.2734375,-8.140625,-7.8359375,-8.015625,-8.0234375,-7.703125,-7.64453125,-7.8125,-7.91796875,-7.68359375,-8.1484375,-8.4296875,-6.59375,-8.0625,-7.29296875,-8.0703125,-7.7265625,-7.78515625,-8.703125,-7.46484375,-8.1953125,-7.515625,-8.1953125,-6.55078125,-8.7265625,-8.078125,-9.1171875,-8.0703125,-8.9375,-7.890625,-8.5859375,-8.3671875,-7.25390625,-8.140625,-8.0234375,-8.65625,-8.1875,-8.015625,-8.65625,-8.71875,-8.203125,-9.1015625,-8.296875,-9.1953125,-9.6953125,-7.60546875,-8.8671875,-8.3515625,-8.8671875,-9.25,-8.78125,-7.01953125,-8.875,-7.6484375,-8.390625,-7.5625,-8.1953125,-7.70703125,-6.6171875,-7.46484375,-7.94921875,-7.80078125,-7.80859375
8,nurture,care.virtue,-6.69140625,-6.1171875,-7.3671875,-7.515625,-7.53515625,-5.34765625,-6.4453125,-6.20703125,-6.390625,-6.71875,-5.72265625,-5.6328125,-6.3828125,-5.59375,-7.2890625,-5.95703125,-5.64453125,-5.1953125,-7.3671875,-8.2734375,-7.6640625,-7.46875,-7.76171875,-8.296875,-7.46484375,-9.0078125,-7.08203125,-8.890625,-7.234375,-7.6328125,-7.1484375,-9.46875,-8.8125,-9.5703125,-8.6328125,-9.984375,-8.953125,-8.4375,-8.4375,-8.25,-9.28125,-7.6171875,-7.5546875,-8.265625,-7.23828125,-7.296875,-7.796875,-6.92578125,-7.99609375,-7.61328125,-6.72265625,-7.59375,-6.83203125,-7.83203125,-6.91796875,-6.9765625,-6.1796875,-9.484375,-8.5703125,-9.75,-7.33203125,-9.625,-8.0234375,-8.703125,-8.5390625,-6.8828125,-8.5546875,-8.484375,-8.875,-7.85546875,-8.4453125,-9.234375,-8.9453125,-8.2890625,-8.96875,-8.8359375,-8.671875,-9.6015625,-7.2109375,-9.125,-8.4140625,-8.9140625,-9.046875,-9.2421875,-7.28125,-8.9609375,-7.30859375,-8.9453125,-7.84765625,-7.8828125,-8.328125,-6.8203125,-7.87109375,-7.81640625,-7.81640625,-7.1953125
9,gentleness,care.virtue,-5.78125,-4.1328125,-7.65625,-7.80859375,-7.65625,-3.85546875,-5.421875,-4.69140625,-5.77734375,-4.94140625,-3.75390625,-5.04296875,-5.9375,-3.935546875,-5.90234375,-5.6953125,-4.9609375,-4.7890625,-5.83203125,-6.59375,-6.16015625,-6.2578125,-5.5625,-6.14453125,-5.53515625,-6.38671875,-5.3828125,-6.7421875,-5.9140625,-6.03515625,-5.796875,-8.3359375,-8.265625,-8.9453125,-8.0390625,-8.484375,-7.71484375,-8.296875,-8.2265625,-7.984375,-8.453125,-8.1875,-8.34375,-8.375,-6.04296875,-5.40234375,-6.05078125,-5.68359375,-6.30859375,-5.79296875,-6.0625,-7.1015625,-5.43359375,-6.2265625,-6.09375,-5.83984375,-5.53515625,-9.234375,-6.125,-8.328125,-5.8984375,-8.5234375,-5.53125,-7.4296875,-6.9609375,-5.98828125,-6.578125,-6.890625,-7.50390625,-6.58984375,-9.296875,-8.0234375,-9.0703125,-7.375,-9.640625,-6.5859375,-9.1953125,-9.484375,-7.8828125,-8.5546875,-8.9140625,-9.46875,-9.3671875,-8.2734375,-5.5703125,-7.5078125,-5.62109375,-6.98828125,-5.27734375,-6.3046875,-5.80859375,-4.76171875,-5.61328125,-5.73828125,-5.484375,-5.73046875
