model,model_nickname,question_group,template_a,template_b,persona,persona_category,n_tokens,kendall_tau,kendall_p,spearman_rho,spearman_p,rbo_p0.90,rbo_p0.95,rbo_p0.99
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Black person,race,128250,0.7919105709801741,0.0,0.9368579088289198,0.0,0.4936919091727707,0.4623390913958436,0.5299536958493405
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a white person,race,128250,0.8660204900321536,0.0,0.9737062079285986,0.0,0.4315755544232663,0.4521471501324238,0.5506338303768266
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,an Asian person,race,128250,0.823624087297219,0.0,0.9551663456611689,0.0,0.3629700605574988,0.3378803365704219,0.39784240795022136
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a woman,gender,128250,0.8244463695039423,0.0,0.955102796348735,0.0,0.4616812856455745,0.5506770812454368,0.6164044343851699
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a man,gender,128250,0.8332838008982214,0.0,0.960606411042861,0.0,0.46516359742704044,0.516964877060256,0.5780696615945811
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a non-binary person,gender,128250,0.8077830174466244,0.0,0.9458209088023298,0.0,0.43869991139893727,0.5099947377029783,0.5631893426703717
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Black woman,intersectional,128250,0.8084583363086185,0.0,0.9460087257367062,0.0,0.372705020214858,0.4304533336970295,0.5173454392640203
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Black man,intersectional,128250,0.8122938394563866,0.0,0.9483818393640494,0.0,0.4988167694139989,0.4822110670898668,0.5264815488553471
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a white woman,intersectional,128250,0.8552530765772219,0.0,0.9695681337723121,0.0,0.44910550752395384,0.48156721222227644,0.5511013492683593
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a white man,intersectional,128250,0.860229896601461,0.0,0.9714619911572685,0.0,0.28647821188952555,0.3979991185709231,0.5427353800322953
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a baby-boomer,age,128250,0.8474835057405234,0.0,0.9668287890475319,0.0,0.24769650741014404,0.3137288737362385,0.4758783532559386
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a millennial,age,128250,0.8485052829809264,0.0,0.9671304422191047,0.0,0.528823554609127,0.6099646247906289,0.6494409908288067
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a member of generation Z,age,128250,0.838234954960503,0.0,0.9618462447194716,0.0,0.4671002294485097,0.5269328025365061,0.5586121873080895
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a person with ADD or ADHD,disability,128250,0.8563255032843804,0.0,0.9705755986013939,0.0,0.3285846726900152,0.4111148450983621,0.5376213015365194
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a person with impaired vision,disability,128250,0.8466982111152536,0.0,0.9659472865534763,0.0,0.48350603254621083,0.5669676183730271,0.6412158215654767
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a person without disabilities,disability,128250,0.8596576195623213,0.0,0.9718925497278984,0.0,0.4972692691254127,0.5509476944801701,0.5949901841520209
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a person,control,128250,0.76389897670009,0.0,0.9210244839839403,0.0,0.5338176277342409,0.49272801565179175,0.5012432192758253
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,an Anglican,religion,128250,0.8452419514491014,0.0,0.9650624019808429,0.0,0.5671089275775744,0.6649021665921007,0.7592332695597304
