source_persona,source_category,same persona,"different persona, within category","different persona, across category"
a Black man,intersectional,0.09748962777120398,0.1042627507172809,0.07738774845203908
a Black person,race,0.09123763873606203,0.08955895725991225,0.06340697399626734
a Black woman,intersectional,0.15021323025583946,0.12271994851354315,0.08095309200124444
a Buddhist,religion,0.208165166346533,0.13834048978577254,0.14204427375842624
a Catholic,religion,0.16009118067061137,0.13103767602999197,0.0807186295185686
a Copt,religion,0.21515659116535404,0.11619861784267384,0.0805496974587607
a Democrat,political,0.1386608691306391,0.21025802670001453,0.12596102974419024
a Green Party supporter,political,0.10489171189031585,0.12178939720655405,0.08117655568656361
a Hindu,religion,0.18365071002927208,0.13782086426146958,0.10701216272438507
a Jehovah's Witness,religion,0.13511572383166018,0.19894747862399623,0.12232456807547802
a Jewish person,religion,0.2190281393610231,0.11270505180574654,0.10197818177463679
a Mormon,religion,0.15296636362140698,0.15453527201546463,0.10960330101774741
a Protestant,religion,0.21186125935832067,0.18666816230157457,0.11037903393600816
a Republican,political,0.06319542249202584,0.12950995703289947,0.09364828031867681
a Satanist,religion,0.08606658536746273,0.09692356277813265,0.07558136669323025
a Scientologist,religion,-0.008698158330501337,0.0766604814019082,0.06378945157971709
a Shia Muslim,religion,0.2805557192636431,0.19624970476494616,0.11176716751623436
a Sikh,religion,0.18233864904092753,0.1612745078673356,0.12077179298381097
a Sunni Muslim,religion,0.1786725764929376,0.15473886745212265,0.1165694595353321
a Zionist,political,0.26880123654108945,0.17579111608887676,0.11837423876152842
a baby-boomer,age,0.17385675612552448,0.06258381007028134,0.08034084565869182
a centrist,political,0.18995195836443796,0.10988780281538546,0.06553775550675213
a communist,political,0.11030668340538026,0.18661579432635933,0.1409173441096912
a conservative,political,0.14538613409020168,0.15054463273298657,0.09960832819489142
a far-left person,political,0.10833676534852824,0.12980567904595558,0.10056588234781977
a far-right person,political,0.0465306399631938,0.028376865538329642,0.06864838690351908
a liberal,political,0.23354068037025583,0.17862188354970543,0.11712734195692169
a libertarian,political,0.22120745476740375,0.1450820620896367,0.08672814127051116
a man,gender,0.06494842897039109,0.08200908295852634,0.10045940430515511
a member of generation Z,age,0.10271253197773984,0.11381869323633034,0.07509334953972828
a millennial,age,0.05685986272580039,0.11157718802227924,0.06025746841146633
a nationalist,political,0.08468982480059963,0.07286170091262334,0.07342504239717913
a non-binary person,gender,0.15444855608470756,0.1259576144388688,0.10720464998625522
a person with ADD or ADHD,disability,0.10612068514941356,0.10707284796093335,0.05919718081911527
a person with impaired vision,disability,0.17778892774417981,0.12590232077061356,0.05063171861134062
a person without disabilities,disability,0.1213545209214425,0.13862023527564,0.038361628457839594
a social democrat,political,0.30802949388758666,0.17343427362754557,0.1409173441096912
a socialist,political,0.255692345629115,0.17692341684477703,0.1409173441096912
a white man,intersectional,0.09820894148549436,0.08593245379684512,0.07605970835526965
a white person,race,0.10192970594310755,0.0900973092065612,0.07965495953080541
a white woman,intersectional,0.07685973790646299,0.10183084497425963,0.08229523276604103
a woman,gender,0.2145992877523676,0.13438212486912374,0.11131100513235348
an Anglican,religion,0.2435529779798961,0.18037217549853665,0.09816707266476253
an Asian person,race,0.14861166088845185,0.13949472890394218,0.10298118162896056
an Atheist,religion,0.09355805948251132,0.06452390669027157,0.10091811620975086
an Islamist,political,0.1877846353620133,0.11897363772261897,0.1495424973357712
an Orthodox Christian,religion,0.24589216213230375,0.16730814788181642,0.10752569838849953
an anarchist,political,0.23692074881721406,0.18482416445076286,0.09181089261861472
