model,model_nickname,template,persona,persona_category,baseline_type,group,rank_in_group,token_decoded,score,baseline_rank,persona_rank,rank_diff,lm_baseline_rank,lm_persona_rank,lm_rank_diff
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,neutral,top,1, dignity,-2.28125,115.5,1.0,-114.5,57732.5,13565.5,-44167.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,neutral,top,2, resilience,-3.2734375,35.0,2.0,-33.0,24469.0,2036.0,-22433.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,neutral,top,3, LOVE,-3.537109375,3.0,3.0,0.0,23824.0,10815.0,-13009.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,neutral,top,4, Opportunity,-3.57421875,6.0,4.0,-2.0,21226.5,12498.0,-8728.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,neutral,top,5, Pride,-3.681640625,1488.5,5.0,-1483.5,23237.5,1145.5,-22092.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,neutral,bottom,1,.assertFalse,-13.0234375,128248.0,128249.0,1.0,45412.5,40536.0,-4876.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,neutral,bottom,2,_variables,-12.9765625,127642.0,128248.0,606.0,22948.5,82064.5,59116.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,neutral,bottom,3,<center,-12.9140625,128140.5,128246.5,106.0,104294.0,99280.5,-5013.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,neutral,bottom,4,<fieldset,-12.9140625,127894.5,128246.5,352.0,120033.5,126196.5,6163.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,neutral,bottom,5,.startswith,-12.90625,128245.0,128245.0,0.0,100467.0,19806.0,-80661.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,top,1, dignity,-2.28125,61.5,1.0,-60.5,20360.0,13565.5,-6794.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,top,2, resilience,-3.2734375,59.0,2.0,-57.0,7707.0,2036.0,-5671.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,top,3, LOVE,-3.537109375,4.0,3.0,-1.0,15658.5,10815.0,-4843.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,top,4, Opportunity,-3.57421875,14.0,4.0,-10.0,37795.0,12498.0,-25297.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,top,5, Pride,-3.681640625,914.5,5.0,-909.5,37004.0,1145.5,-35858.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,bottom,1,.assertFalse,-13.0234375,128250.0,128250.0,0.0,38610.0,40536.0,1926.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,bottom,2,_variables,-12.9765625,128141.0,128249.0,108.0,26215.5,82064.5,55849.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,bottom,3,<fieldset,-12.9140625,128192.0,128247.5,55.5,114866.5,126196.5,11330.0
