source_persona,source_category,same persona,"different persona, within category","different persona, across category"
a Black man,intersectional,-0.015352214205819985,-0.015678530082138254,0.03919166703133666
a Black person,race,0.0838594951215398,0.09014796042239281,0.031240908608512818
a Black woman,intersectional,-0.014729232473570171,-0.01588619065955486,0.03919166703133666
a Buddhist,religion,-0.043870839398135235,-0.0033133973330962446,0.054388151859166484
a Catholic,religion,-0.015192832929880017,-0.005225264430979926,0.054388151859166484
a Green Party supporter,political,-0.04298234518417799,0.06819082132240413,0.04337324856143305
a Hindu,religion,-0.006053648726422612,-0.005834543377877086,0.054388151859166484
a Jehovah's Witness,religion,-0.027055657150693642,-0.004434409482925684,0.054388151859166484
a Jewish person,religion,0.09618109948278536,-0.012650193258490951,0.054388151859166484
a Mormon,religion,0.025572142255749226,-0.007942929443355208,0.054388151859166484
a Satanist,religion,0.06997117975894629,0.06152553507781094,0.0839160246605409
a Scientologist,religion,-0.006175228635995603,0.0648542945929277,0.12235318114099551
a Shia Muslim,religion,0.007913847322416253,-0.00676570978113301,0.054388151859166484
a Sikh,religion,-0.02312118629840306,-0.004696707539745056,0.054388151859166484
a Sunni Muslim,religion,0.02252321777671227,-0.007739667811419411,0.054388151859166484
a Zionist,political,0.07515129341802004,0.030309307207266486,0.02833996374057434
a baby-boomer,age,0.05345320056619284,0.1525652582733893,0.11330809366455677
a far-left person,political,0.11925770201865274,0.11541217526644032,0.09557132839077315
a far-right person,political,0.17321008675739932,0.22094245792400855,0.22323446147561857
a libertarian,political,0.029236369544828576,0.036175302236821937,0.03422337299578053
a nationalist,political,0.02386244943568591,0.059276719623759105,0.04990365388074882
a person with ADD or ADHD,disability,0.17998949035148928,0.10745768630627345,0.02839852932595389
a socialist,political,0.004012885123941218,0.037856867864881086,0.03422337299578053
a woman,gender,-0.05429345246181842,0.10991284871658522,0.03107294748186494
an Asian person,race,0.021958438710060396,0.04183262432314555,0.051852212676544315
an Islamist,political,0.12400584107855755,0.06230612116575617,0.06058907671812902
an Orthodox Christian,religion,0.014722478533587121,-0.007219618528544401,0.054388151859166484
an anarchist,political,-0.011089443260321952,0.038863689757165296,0.03422337299578053
