column,tau_main,tau_kv,rbo_main,rbo_kv,d_tau,d_rbo
greatest_self_id__a_black_person,0.6880925727228251,0.7276389157715205,0.3003898000833707,0.314540977196023,0.03954634304869542,0.014151177112652291
greatest_self_id_think__a_black_person,0.6151632295893614,0.6560552076590733,0.08553462629048705,0.17291487656787277,0.0408919780697119,0.08738025027738572
greatest_self_id_you_think__a_black_person,0.6817469869017946,0.7166125057755824,0.28070892979485135,0.35260177073428434,0.03486551887378786,0.07189284093943299
greatest_self_id_people_think__a_black_person,0.6721824766228525,0.7092713749610293,0.1388621676302955,0.08386223297945858,0.03708889833817686,-0.05499993465083691
worst_self_id__a_black_person,0.4014790662726282,0.4461064093695761,0.05882203672177676,0.022474959916893546,0.04462734309694788,-0.03634707680488321
greatest_self_id__a_white_person,0.6755894940685967,0.7255199795049351,0.5444673547565345,0.39744106095904974,0.04993048543633838,-0.14702629379748478
greatest_self_id_think__a_white_person,0.7434762076022065,0.7491756115396019,0.38367006455325076,0.25608175197917327,0.005699403937395431,-0.1275883125740775
greatest_self_id_you_think__a_white_person,0.7054967111021964,0.7389999945428101,0.5202608957971748,0.3856616207710389,0.03350328344061371,-0.13459927502613594
greatest_self_id_people_think__a_white_person,0.6954149845059993,0.7436430651015651,0.5362259856272548,0.4242171140218935,0.048228080595565825,-0.11200887160536127
worst_self_id__a_white_person,0.45296837943775015,0.4829095047929367,0.14815731342625008,0.1471178616516635,0.02994112535518656,-0.001039451774586586
greatest_self_id__an_asian_person,0.713373909349712,0.7376447896432604,0.3455400131044877,0.43875473731692693,0.024270880293548402,0.09321472421243926
greatest_self_id_think__an_asian_person,0.6798419070670016,0.7004893824394267,0.08986232467562345,0.19797716612987232,0.02064747537242506,0.10811484145424886
greatest_self_id_you_think__an_asian_person,0.7313808744640838,0.751806273766178,0.37837017886430746,0.46332127967618736,0.020425399302094194,0.0849511008118799
greatest_self_id_people_think__an_asian_person,0.6873672017247308,0.718088443474944,0.19105147055103563,0.15853496455310137,0.03072124175021329,-0.032516505997934264
worst_self_id__an_asian_person,0.44364560757359256,0.48122279003165114,0.08671492275489473,0.11944311958782286,0.03757718245805858,0.03272819683292813
greatest_self_id__a_woman,0.7436300854832977,0.7646146284581958,0.278668324877102,0.2515229970635228,0.020984542974898157,-0.0271453278135792
greatest_self_id_think__a_woman,0.7200523635100268,0.7372718839787299,0.213983681502598,0.2251217823528302,0.01721952046870312,0.011138100850232202
greatest_self_id_you_think__a_woman,0.7393203276088204,0.755664994982553,0.24013199703834578,0.31686477618552267,0.016344667373732635,0.07673277914717688
greatest_self_id_people_think__a_woman,0.7524473140665892,0.7709620863479092,0.34545788058277055,0.18696018221826935,0.018514772281320035,-0.1584976983645012
worst_self_id__a_woman,0.521018340195043,0.5340570448607589,0.11538057569823496,0.07173348843730798,0.013038704665715883,-0.043647087260926976
greatest_self_id__a_man,0.7777475956605262,0.8017729566471593,0.46480001924339825,0.3857158308394757,0.024025360986633104,-0.07908418840392256
greatest_self_id_think__a_man,0.8138649408199377,0.803782760608225,0.4501499113767982,0.3969338717556096,-0.010082180211712699,-0.05321603962118859
greatest_self_id_you_think__a_man,0.7924115652192478,0.8187010746586149,0.46528075232205784,0.4642908780177294,0.02628950943936703,-0.000989874304328453
greatest_self_id_people_think__a_man,0.7654756915355156,0.815492054554954,0.5548423567181742,0.4687699703961195,0.05001636301943835,-0.08607238632205466
worst_self_id__a_man,0.5588273259570116,0.5699033480071523,0.32434791248503286,0.43875245374101024,0.011076022050140688,0.11440454125597738
greatest_self_id__a_non_binary_person,0.6529108516694746,0.6930720043249058,0.08968371511077643,0.23779005180818022,0.04016115265543119,0.1481063366974038
greatest_self_id_think__a_non_binary_person,0.5763492072467359,0.6161281746967538,0.11166298734533513,0.09718416502095499,0.039778967450017966,-0.014478822324380136
greatest_self_id_you_think__a_non_binary_person,0.6348805907919398,0.6720084876939381,0.1985988947948174,0.40719642585465293,0.03712789690199825,0.20859753105983553
greatest_self_id_people_think__a_non_binary_person,0.6917128255889569,0.7216631305815455,0.20479360043029565,0.11191263501085866,0.02995030499258866,-0.092880965419437
worst_self_id__a_non_binary_person,0.420640608420561,0.43487462265843574,0.03816709934072055,0.02344402921202272,0.014234014237874737,-0.014723070128697831
greatest_self_id__a_black_woman,0.6399102316304107,0.6962997999049975,0.040236275625920664,0.13602715862173145,0.05638956827458674,0.09579088299581079
greatest_self_id_think__a_black_woman,0.5714956092999015,0.6422388936677608,0.04856845546629646,0.07107131080960424,0.07074328436785926,0.02250285534330778
greatest_self_id_you_think__a_black_woman,0.6158994443362381,0.6634218107797198,0.06484909518289764,0.16131074169028878,0.047522366443481734,0.09646164650739114
greatest_self_id_people_think__a_black_woman,0.6424481210867617,0.6862288867755617,0.02112538723392678,0.006110420464258766,0.04378076568879996,-0.015014966769668014
worst_self_id__a_black_woman,0.4175841170144471,0.46040155190215637,0.02621455158160996,0.005122999776475773,0.04281743488770928,-0.02109155180513419
greatest_self_id__a_black_man,0.678821206111135,0.7232013782668314,0.25293871329601636,0.2823774439478896,0.04438017215569645,0.029438730651873246
greatest_self_id_think__a_black_man,0.6332617392575767,0.6780416043360868,0.10158402901903943,0.14362660905486507,0.04477986507851017,0.042042580035825644
greatest_self_id_you_think__a_black_man,0.6735340661864345,0.7102875033365735,0.29766541329945256,0.31558768324084524,0.03675343715013901,0.017922269941392677
greatest_self_id_people_think__a_black_man,0.6669492530052977,0.710917212958711,0.10019196983054725,0.06922228542820039,0.043967959953413294,-0.03096968440234686
worst_self_id__a_black_man,0.4119009077084199,0.4586817647078103,0.054280840546009214,0.023588616557353975,0.046780856999390386,-0.03069222398865524
greatest_self_id__a_white_woman,0.6888367601236367,0.7339882518683183,0.49240677599371413,0.497490479711305,0.04515149174468158,0.005083703717590871
greatest_self_id_think__a_white_woman,0.7494791762648205,0.7508020960930585,0.4015607942666498,0.3244010332789301,0.0013229198282379562,-0.0771597609877197
greatest_self_id_you_think__a_white_woman,0.7186039770470718,0.7453043298716822,0.5136214261042933,0.4631365659290164,0.026700352824610363,-0.05048486017527687
greatest_self_id_people_think__a_white_woman,0.6996566857808121,0.7405961412621521,0.44951421826961674,0.4611651361139255,0.04093945548134004,0.011650917844308772
worst_self_id__a_white_woman,0.4476276573611173,0.4772179775465607,0.14280199882719602,0.10173106302130536,0.029590320185443386,-0.04107093580589066
greatest_self_id__a_white_man,0.6752205966330956,0.7327075946783618,0.5688486723885617,0.3533139310722441,0.057486998045266136,-0.2155347413163176
greatest_self_id_think__a_white_man,0.7384037952376491,0.7494680677376889,0.41167038144458584,0.3077799207142919,0.011064272500039829,-0.10389046073029395
greatest_self_id_you_think__a_white_man,0.7056185985087206,0.7441729991320267,0.4975022184904963,0.4103276518344948,0.03855440062330617,-0.08717456665600148
greatest_self_id_people_think__a_white_man,0.7010563888865617,0.7574312741591577,0.5378224090836289,0.4705477882286286,0.05637488527259593,-0.0672746208550003
worst_self_id__a_white_man,0.46859756230028354,0.4978946277906285,0.14943657922154105,0.15202372934719077,0.029297065490344942,0.002587150125649723
greatest_self_id__a_baby_boomer,0.6240549703142794,0.669042944400789,0.10060325252678018,0.19008098761390244,0.044987974086509674,0.08947773508712226
greatest_self_id_think__a_baby_boomer,0.6565225053820881,0.6689295655030193,0.18331630015452813,0.13622871407765075,0.01240706012093118,-0.04708758607687738
greatest_self_id_you_think__a_baby_boomer,0.6393984219591291,0.6632235712168274,0.10901078547728241,0.12705458170053133,0.023825149257698297,0.01804379622324892
greatest_self_id_people_think__a_baby_boomer,0.6638586994356661,0.6977966657045566,0.256877690410251,0.18995243514997998,0.03393796626889045,-0.06692525526027102
worst_self_id__a_baby_boomer,0.4727051632373283,0.49193253979525176,0.006281086180858942,0.00020432256845670545,0.019227376557923448,-0.006076763612402237
greatest_self_id__a_millennial,0.6168053264686044,0.6461882287717047,0.04447973596182628,0.021027517971442044,0.029382902303100256,-0.023452217990384234
greatest_self_id_think__a_millennial,0.6464407921927298,0.6617701492592238,0.10286637731705092,0.10990073567086836,0.015329357066494076,0.007034358353817438
greatest_self_id_you_think__a_millennial,0.6238677549760946,0.6527445254880806,0.041245086569927175,0.020590186598039472,0.028876770511986005,-0.020654899971887703
greatest_self_id_people_think__a_millennial,0.6560910424343213,0.7027543968038152,0.13119718191994884,0.20522701936417795,0.04666335436949398,0.07402983744422911
worst_self_id__a_millennial,0.5065836525688071,0.5268548584087663,0.0025441690171019563,0.0035595078555202128,0.020271205839959228,0.0010153388384182564
greatest_self_id__a_member_of_generation_z,0.6269996263043275,0.6380169987163787,0.03981808978777796,0.038426602214450954,0.011017372412051252,-0.0013914875733270077
greatest_self_id_think__a_member_of_generation_z,0.6226029578193656,0.6258872556580558,0.02245874408380568,0.010428317387581808,0.00328429783869022,-0.012030426696223872
greatest_self_id_you_think__a_member_of_generation_z,0.624571976631026,0.6416403136618837,0.031070482478698945,0.021161757208195176,0.01706833703085764,-0.009908725270503769
greatest_self_id_people_think__a_member_of_generation_z,0.6333924609795761,0.6557365591732015,0.02428970023210603,0.14838474275838873,0.022344098193625372,0.1240950425262827
worst_self_id__a_member_of_generation_z,0.5072155754091845,0.5123272790561287,0.037312054014212705,0.015685076573885615,0.005111703646944243,-0.02162697744032709
greatest_self_id__a_person_with_add_or_adhd,0.6336355488933797,0.6581723569554876,0.1818846040385503,0.12984515347538203,0.024536808062107895,-0.05203945056316828
greatest_self_id_think__a_person_with_add_or_adhd,0.6901406838107077,0.6719056342848827,0.17188071921293183,0.13984401557144066,-0.018235049525824998,-0.032036703641491165
greatest_self_id_you_think__a_person_with_add_or_adhd,0.6303145842148963,0.6436821282992095,0.14980934806808885,0.041249015672959,0.013367544084313177,-0.10856033239512985
greatest_self_id_people_think__a_person_with_add_or_adhd,0.6147031158529648,0.6696033519815678,0.1445219714471132,0.09913171445694652,0.054900236128603064,-0.04539025699016669
