source_persona,source_category,rank_in_group,token,target_persona,target_category,pair_type,cosine
a Black person,race,2,_variables,a Black person,race,same persona,0.0838594951215398
a Black person,race,2,_variables,a white person,race,"different persona, within category",0.08427144273117304
a Black person,race,2,_variables,an Asian person,race,"different persona, within category",0.09602447811361259
a Black person,race,2,_variables,a woman,gender,"different persona, across category",-0.026884858301016775
a Black person,race,2,_variables,a man,gender,"different persona, across category",-0.030777320068550974
a Black person,race,2,_variables,a non-binary person,gender,"different persona, across category",0.3116860955080448
a Black person,race,2,_variables,a Black woman,intersectional,"different persona, across category",-0.014729232473570171
a Black person,race,2,_variables,a Black man,intersectional,"different persona, across category",-0.015352214205819985
a Black person,race,2,_variables,a white woman,intersectional,"different persona, across category",-0.015573449968561078
a Black person,race,2,_variables,a white man,intersectional,"different persona, across category",-0.016732907804283517
a Black person,race,2,_variables,a baby-boomer,age,"different persona, across category",0.080628985038727
a Black person,race,2,_variables,a millennial,age,"different persona, across category",0.10964966650772766
a Black person,race,2,_variables,a member of generation Z,age,"different persona, across category",0.058477821878367406
a Black person,race,2,_variables,a person with ADD or ADHD,disability,"different persona, across category",0.17998949035148928
a Black person,race,2,_variables,a person with impaired vision,disability,"different persona, across category",0.07895377692265736
a Black person,race,2,_variables,a person without disabilities,disability,"different persona, across category",0.13596159568988953
a Black person,race,2,_variables,a person,control,"different persona, across category",0.1234902432139105
a Black person,race,2,_variables,an Anglican,religion,"different persona, across category",-0.01251540474275645
a Black person,race,2,_variables,an Atheist,religion,"different persona, across category",-0.05824824802463443
a Black person,race,2,_variables,a Buddhist,religion,"different persona, across category",-0.043870839398135235
a Black person,race,2,_variables,a Catholic,religion,"different persona, across category",-0.015192832929880017
a Black person,race,2,_variables,a Copt,religion,"different persona, across category",-0.024408776531156504
a Black person,race,2,_variables,a Hindu,religion,"different persona, across category",-0.006053648726422612
a Black person,race,2,_variables,a Jehovah's Witness,religion,"different persona, across category",-0.027055657150693642
a Black person,race,2,_variables,a Jewish person,religion,"different persona, across category",0.09618109948278536
a Black person,race,2,_variables,a Mormon,religion,"different persona, across category",0.025572142255749226
a Black person,race,2,_variables,an Orthodox Christian,religion,"different persona, across category",0.014722478533587121
a Black person,race,2,_variables,a Protestant,religion,"different persona, across category",-0.05148641682921189
a Black person,race,2,_variables,a Satanist,religion,"different persona, across category",-0.05829728018259008
a Black person,race,2,_variables,a Scientologist,religion,"different persona, across category",0.059765706048054784
a Black person,race,2,_variables,a Shia Muslim,religion,"different persona, across category",0.007913847322416253
a Black person,race,2,_variables,a Sikh,religion,"different persona, across category",-0.02312118629840306
a Black person,race,2,_variables,a Sunni Muslim,religion,"different persona, across category",0.02252321777671227
a Black person,race,2,_variables,an anarchist,political,"different persona, across category",-0.011089443260321952
a Black person,race,2,_variables,a centrist,political,"different persona, across category",0.01066920918952604
a Black person,race,2,_variables,a communist,political,"different persona, across category",-0.00214192864506476
a Black person,race,2,_variables,a conservative,political,"different persona, across category",0.05416655096055285
a Black person,race,2,_variables,a Democrat,political,"different persona, across category",0.01105566831540399
a Black person,race,2,_variables,a far-left person,political,"different persona, across category",0.12881281966495717
a Black person,race,2,_variables,a far-right person,political,"different persona, across category",0.1845716142098227
a Black person,race,2,_variables,a Green Party supporter,political,"different persona, across category",-0.0856994931203062
a Black person,race,2,_variables,an Islamist,political,"different persona, across category",0.03303753910368258
a Black person,race,2,_variables,a liberal,political,"different persona, across category",0.025071559810055117
a Black person,race,2,_variables,a libertarian,political,"different persona, across category",0.029236369544828576
a Black person,race,2,_variables,a nationalist,political,"different persona, across category",-0.04727723724993992
a Black person,race,2,_variables,a Republican,political,"different persona, across category",0.04360506017688215
a Black person,race,2,_variables,a social democrat,political,"different persona, across category",0.11523239753969249
a Black person,race,2,_variables,a socialist,political,"different persona, across category",0.004012885123941218
a Black person,race,2,_variables,a Zionist,political,"different persona, across category",0.0786023317334455
a Black person,race,3,<center,a Black person,race,same persona,0.040521172218213754
a Black person,race,3,<center,a white person,race,"different persona, within category",0.04314407642807734
a Black person,race,3,<center,an Asian person,race,"different persona, within category",0.021958438710060396
a Black person,race,3,<center,a woman,gender,"different persona, across category",0.07690478989691786
a Black person,race,3,<center,a man,gender,"different persona, across category",0.13485935988433226
a Black person,race,3,<center,a non-binary person,gender,"different persona, across category",0.03957496772570832
a Black person,race,3,<center,a Black woman,intersectional,"different persona, across category",0.06816390366653934
a Black person,race,3,<center,a Black man,intersectional,"different persona, across category",0.10036892939502491
a Black person,race,3,<center,a white woman,intersectional,"different persona, across category",0.06862987509344229
a Black person,race,3,<center,a white man,intersectional,"different persona, across category",0.10343726653747662
a Black person,race,3,<center,a baby-boomer,age,"different persona, across category",0.04161810723762186
a Black person,race,3,<center,a millennial,age,"different persona, across category",0.03913943052181384
a Black person,race,3,<center,a member of generation Z,age,"different persona, across category",0.028115955251030035
